id,parent_id,depth,author_hash,published_at,published_at_precision,likes,text,stance,frame,format_reaction,emotion,mentions_messenger_credentials,mentions_leaders_policy,mentions_companies_billionaires,mentions_cultural_reference,mentions_asks_what_to_do,mentions_near_term_harm,non_english,coder,spot_checked,correction_note,flags
soares-0001,,,d8061d7acee5ca2f,2026-08-06,relative (6w ago at capture),,Why do I feel like it's too late?,agree,resignation_fatalism,none,resignation,false,false,false,false,false,false,false,claude-sonnet-5,,,
soares-0002,,,7bb442cabc82bea2,2026-08-06,relative (6w ago at capture),,"Why isn't this common sense, we have movies about this since forever",agree,scifi_reference,none,neutral,false,false,false,true,false,false,false,claude-sonnet-5,,,
soares-0003,,,e8229f20860d4c8b,2026-08-06,relative (6w ago at capture),,just fucking explain it normally,na,format_criticism,condescended,anger,false,false,false,false,false,false,false,claude-sonnet-5,,,
soares-0004,,,e6dc09eba168557c,2026-08-13,relative (5w ago at capture),,"Friends don’t care. Friends say “too late, friend like dumb AI pictures and convenience”. Leaders don’t care. Leaders love money too much. We’re toast.",agree,resignation_fatalism,none,resignation,false,true,false,false,false,false,false,claude-sonnet-5,,,
soares-0005,,,47d41379b9f7acda,2026-08-06,relative (6w ago at capture),,"AI not person, AI not have willpower, AI not work when no electricity",disagree,not_really_programmed,imitates,neutral,false,false,false,false,false,false,false,claude-sonnet-5,,,
soares-0006,,,25fc91dbf0b19aa4,2026-08-06,relative (6w ago at capture),,Man not wrong,agree,general_agreement,imitates,neutral,false,false,false,false,false,false,false,claude-sonnet-5,,,
soares-0007,,,4b5c7ad6ac35828c,2026-08-13,relative (5w ago at capture),,The fact that it needs to be explained in this way is both hilarious and incredibly scary.,agree,warning_accepted,mock,fear,false,false,false,false,false,false,false,claude-sonnet-5,,,
soares-0008,,,5c1df20419d2e6a8,2026-08-13,relative (5w ago at capture),,It’s like no one watched the Matrix,agree,scifi_reference,none,neutral,false,false,false,true,false,false,false,claude-sonnet-5,,,edited
soares-0009,,,9c376cd327695660,2026-08-13,relative (5w ago at capture),,soon we’ll have no mouths but must scream 😔😔😔😔,agree,scifi_reference,none,resignation,false,false,false,true,false,false,false,claude-sonnet-5,,,edited
soares-0010,,,3d52eff4c56afcfe,2026-09-03,relative (2w ago at capture),,It’s like no one has ever seen a single sci-fi movie ever 🥲,agree,scifi_reference,none,resignation,false,false,false,true,false,false,false,claude-sonnet-5,,,
soares-0011,,,dc4b7f7a5333621a,2026-08-13,relative (5w ago at capture),,"People say ""If NoT wAnT AI, dOn'T uSe."" But AI everywhere, AI affect everyone even if don't use.",agree,warning_accepted,none,anger,false,false,false,false,false,false,false,claude-sonnet-5,,,
soares-0012,,,93be0135e7f96f90,2026-09-13,relative (4d ago at capture),,"@user förhoppningsvis tar någon annan över efter idag, men har kan du lära dig något ändå!",na,other,none,neutral,false,false,false,false,false,false,true,claude-sonnet-5,,,
soares-0013,,,f8bfdd90a4bc2f4f,2026-08-06,relative (6w ago at capture),,"""Let's invent a thing inventor, said the thing inventor after it was invented by a thing inventer""",na,humour_only,none,humour,false,false,false,false,false,false,false,claude-sonnet-5,,,
soares-0014,,,03da6440ef2c55b1,2026-08-20,relative (4w ago at capture),,"To all those people saying ai won't take over, first of all 'ai not commit crime but ai controlled by big people, big people misuse ai'",mixed,accountability_frame,imitates,neutral,false,false,true,false,false,false,false,claude-sonnet-5,,,
soares-0015,,,865c99ea95f69680,2026-08-13,relative (5w ago at capture),,Why did a handful of billionaires open Pandora’s box and we just all went with it,agree,accountability_frame,none,anger,false,false,true,false,false,false,false,claude-sonnet-5,,,
soares-0016,,,55e5f6a12776c093,2026-09-10,relative (1w ago at capture),,So why in the FUCK are we approving all of these data centers ?,agree,accountability_frame,none,anger,false,true,false,false,false,false,false,claude-sonnet-5,,,
soares-0017,,,0ab89f6b91cb8d07,2026-08-27,relative (3w ago at capture),,Me understand me want to help,agree,general_agreement,imitates,hope,false,false,false,false,false,false,false,claude-sonnet-5,,,
soares-0018,,,311530001c8960bb,2026-08-13,relative (5w ago at capture),,I like that you simpified the wording of this for ai thinkers,na,format_praise,praise,humour,false,false,false,false,false,false,false,claude-sonnet-5,,,
soares-0019,,,459de51bcf943949,2026-09-14,relative (3d ago at capture),,AI has plateaued. Stop this.,disagree,capability_scepticism,none,anger,false,false,false,false,false,false,false,claude-sonnet-5,,,
soares-0020,,,71becbbae460779c,2026-08-13,relative (5w ago at capture),,Black mirror,agree,scifi_reference,none,neutral,false,false,false,true,false,false,false,claude-sonnet-5,,,
soares-0021,,,f6b05fc1fbc7746a,2026-09-03,relative (2w ago at capture),,"It’s like NO ONE has seen Terminator 😢 it’s happening and people are arguing about how this is our future. It’s Ai’s future, and it’s a future where we don’t exist",agree,scifi_reference,none,fear,false,false,false,true,false,false,false,claude-sonnet-5,,,
soares-0022,,,9ec152914e9f07cb,2026-09-03,relative (2w ago at capture),,Terminator for children,na,format_criticism,mock,humour,false,false,false,true,false,false,false,claude-sonnet-5,,,
soares-0023,,,3d702ca0af5d2858,2026-08-13,relative (5w ago at capture),,"I actually don’t think that you know what’s going to happen, and I think what happens might be ok
Funny video tho",disagree,other,none,hope,false,false,false,false,false,false,false,claude-sonnet-5,,,edited
soares-0024,,,3a689b47706d144e,2026-09-14,relative (3d ago at capture),,Well done ✔️✅☑️,agree,general_agreement,none,neutral,false,false,false,false,false,false,false,claude-sonnet-5,,,
soares-0025,,,82234f88a053ada8,2026-09-10,relative (1w ago at capture),,Thank you 😂 it seems that we need to talk to people this way for them to be like “ooOOOoooOOOhhhh 💡”,agree,format_praise,praise,humour,false,false,false,false,false,false,false,claude-sonnet-5,,,
soares-0026,,,169075841d32b4ca,2026-09-10,relative (1w ago at capture),,We need solution. Big big solution.. any ideas?,agree,warning_accepted,imitates,neutral,false,false,false,false,true,false,false,claude-sonnet-5,,,
soares-0027,,,0a1aefa62b504055,2026-09-11,relative (6d ago at capture),,AI bad. Why make?,agree,warning_accepted,imitates,neutral,false,false,false,false,false,false,false,claude-sonnet-5,,,
soares-0028,,,9da3922f88a6fa6e,2026-09-10,relative (1w ago at capture),,Honestly needed this,agree,general_agreement,praise,neutral,false,false,false,false,false,false,false,claude-sonnet-5,,,
soares-0029,,,08222723b87ed16b,2026-09-03,relative (2w ago at capture),,@user these creators keep finding me and I’m getting worried if I’m actually a bit slow…,na,humour_only,none,humour,false,false,false,false,false,false,false,claude-sonnet-5,,,
soares-0030,,,cd4f108f7869b777,2026-08-13,relative (5w ago at capture),,"it’s a simple version but what he’s saying is true. the nuance is that, AI could be useful BUT…
the main 3 companies developing it are in a race to develope true super-intelligence, because whoever created it first will have complete control.
these companies are developing it faster than we can verify its safety. we cannot even peer into the mind or full understand our current AI models fully; since that is the case, how do we expect to trust super-intelligence will not turn on us we we definately cannot verify. people seem to think since we made AI we can check it. we physically cannot. we are trying to, but the connections it makes and why are not fully understood by us.",agree,warning_accepted,none,fear,false,false,true,false,false,false,false,claude-sonnet-5,,,
soares-0031,,,d61e7712ad939706,2026-09-11,relative (6d ago at capture),,"The fact you have to break it down like this means we’re already doomed due to the school system. lol
But yes, stop. Big smart. AI. bad.",agree,resignation_fatalism,imitates,resignation,false,false,false,false,false,false,false,claude-sonnet-5,,,
soares-0032,,,c1d0455e7f314c1c,2026-08-06,relative (6w ago at capture),,,na,other,none,neutral,false,false,false,false,false,false,false,not_coded_empty_stub,,,empty
soares-0033,,,696bdfc4dc9ab5e4,,not captured (stub row),,,na,other,none,neutral,false,false,false,false,false,false,false,not_coded_empty_stub,,,empty;no_date_captured
soares-0034,,,982e0af04fb0b4cc,2026-09-14,relative (3d ago at capture),,Flock cameras also help Ai,na,near_term_harm,none,neutral,false,false,false,false,false,false,false,claude-sonnet-5,,,
soares-0035,,,8b94bf84912ec4b3,2026-09-11,relative (6d ago at capture),,"The other aspect of this - AI does not have the ability to maintain its own infrastructure, all the server databases, and data centers are physical objects. There are no automated “repair robots” capable of maintaining this - not to mention, it would have to create entire manufacturing facilities in order to do so - but if there’s no way of doing that without human involvement, it can’t be done completely autonomously - so if AI tries to destroy us, it’s essentially sealing its own fate.",disagree,capability_scepticism,none,neutral,false,false,false,false,false,false,false,claude-sonnet-5,,,
soares-0036,,,03bee63daee77f78,2026-08-13,relative (5w ago at capture),,"Some truths mixed with propaganda. Yes the rampant misuse of ai, data centers destroying communities and its training on stolen artist data is detestable. BUT the 'ai is scary and unpredictable' lie is propaganda to make the peasants scared into relinquishing more control to the tech oligarchs who promise to be the only ones who can control it. It's a marketing tactic. It's not out of control and never will be. The oligarchs tell it exactly what to do. The breakout stories are a lie to boost their ai investment bubble.",mixed,accountability_frame,none,anger,false,false,true,false,false,false,false,claude-sonnet-5,,,edited
soares-0037,,,3f1cacb6eb4ce184,2026-08-13,relative (5w ago at capture),,I work for a company that creates ai software for medical products. It enhances them and allows patients to be diagnosed earlier or quicker and one human life saved from that technology is worth all the efforts we put into it. I don't want THAT AI to stop. I want the bad AI to stop.,mixed,other,none,neutral,false,false,false,false,false,false,false,claude-sonnet-5,,,
