id,parent_id,depth,author_hash,published_at,published_at_precision,likes,text,stance,frame,format_reaction,emotion,mentions_messenger_credentials,mentions_regulation,mentions_us_politics,mentions_companies,mentions_cultural_reference,non_english,coder,spot_checked,correction_note
UgxW-o6jWv_uC06aQNt4AaABAg,,0,fd4eb738d15a9783,2026-09-16,exact (yt-dlp timestamp),0,Hugging Face should sue Open AI,agree,accountability_frame,none,anger,false,false,false,true,false,false,"claude-sonnet-5, two parallel batches of 161, 18 Sep 2026",false,
Ugz4fhY71naFlsJhXxl4AaABAg,,0,eb92c537944c2d2a,2026-09-16,exact (yt-dlp timestamp),0,Ms. Khlaff is the first person to clearly articulate the role of human negligence in the Hugging Face debacle. Altman allowed this,agree,accountability_frame,none,neutral,false,false,false,true,false,false,"claude-sonnet-5, two parallel batches of 161, 18 Sep 2026",false,
Ugzj1hFqIKo7XJ6i5-h4AaABAg,,0,17950cf735ba9d31,2026-09-16,exact (yt-dlp timestamp),0,"I find it very amusing when journalists take these stories at face value. The term ""escaped"" implies that there was no deliberate risk taking by the people who were conducting this ""experiment"". Oh, yeah, sure, they had the AI in a cage in the highest security supermax of the IT world surrounded by eighteen guards with shotguns and flame throwers. No, they didn't. This is a simple case of IT malpractice.",agree,accountability_frame,criticism,humour,false,false,false,false,false,false,"claude-sonnet-5, two parallel batches of 161, 18 Sep 2026",false,
UgwMwTF13rtlwtT-XeV4AaABAg,,0,79e1e5a4e319d5b3,2026-09-16,exact (yt-dlp timestamp),0,I might be wrong but I think they're staged and it's going to get out and it's going to empty a lot of banks and they're going to use that excuse when they take out money out of banks from personal bank accounts and they'll start changing the banking system. Hopefully I'm wrong,na,hype_or_staged,none,fear,false,false,false,false,false,false,"claude-sonnet-5, two parallel batches of 161, 18 Sep 2026",false,
UgwMwTF13rtlwtT-XeV4AaABAg.AaniWHQINEhAao6aZvyxQ8,UgwMwTF13rtlwtT-XeV4AaABAg,1,17950cf735ba9d31,2026-09-16,exact (yt-dlp timestamp),0,And there is the kid who doesn't know how banks work. ;-),na,other,none,humour,false,false,false,false,false,false,"claude-sonnet-5, two parallel batches of 161, 18 Sep 2026",false,
UgwY9dK1RxvG9kwV42l4AaABAg,,0,f5fb125d5b0959ad,2026-09-15,exact (yt-dlp timestamp),0,Hari’s eyes 👀 😅 at 1:22,na,humour_only,none,humour,false,false,false,false,false,false,"claude-sonnet-5, two parallel batches of 161, 18 Sep 2026",false,
UgzJirKuhD7Ofpd2uIF4AaABAg,,0,6700408b934f5fd2,2026-09-15,exact (yt-dlp timestamp),0,Most Organizations and businesses  participate in Quality Systems Compliance to adhere to requirements of their industry/practices;  The AI practitioners should design one to govern that industry/Practices,agree,regulation_policy,none,neutral,false,true,false,false,false,false,"claude-sonnet-5, two parallel batches of 161, 18 Sep 2026",false,
UgzJirKuhD7Ofpd2uIF4AaABAg.Aan8euWNkxnAao7JCNDYfM,UgzJirKuhD7Ofpd2uIF4AaABAg,1,17950cf735ba9d31,2026-09-16,exact (yt-dlp timestamp),0,None of those controls were ever able to prevent an employee from sabotaging the company. The difference is... employees can be prosecuted and punished. AIs can not be. So what are you suggesting?,unclear,other,none,neutral,false,true,false,false,false,false,"claude-sonnet-5, two parallel batches of 161, 18 Sep 2026",true,
Ugwo1Pu8Sv7wRXZYPT14AaABAg,,0,d89482f4c8193f01,2026-09-15,exact (yt-dlp timestamp),0,"So, basically, the AI agents that hacked the other AI had been trained with cybersecurity materials and then gets combined with other internet environments and other AI agents that had been trained with other tasks to activate or achieve certain tasks had caused the hacking incidents. In other words the hacking was prompted or initiated by the open AI indirectly. They just didn’t expect that their AI agents would select certain target in this case hugging company. That’s still showing that AI moves based on the prompt and they behave based on the environment that they were trained. It still doesn’t show that AI has the ability to think on their own.",agree,accountability_frame,none,neutral,false,false,false,true,false,false,"claude-sonnet-5, two parallel batches of 161, 18 Sep 2026",true,
Ugwo1Pu8Sv7wRXZYPT14AaABAg.Aan51UyrY-bAao7aAyxM6F,Ugwo1Pu8Sv7wRXZYPT14AaABAg,1,17950cf735ba9d31,2026-09-16,exact (yt-dlp timestamp),0,"It shows that if you give stupid humans control room access in Chernobyl, then a reactor will blow up and if you give them control of an AI that is trained to hack, then you will get somebody hacked. One thing is exactly like the other... there were stupid humans at the helm.",agree,accountability_frame,none,anger,false,false,false,false,false,false,"claude-sonnet-5, two parallel batches of 161, 18 Sep 2026",false,
